descr|cat
штабелер инерционный bigga, 28х 18х 12 см|9
молоко 3,5% rioba ультрапастеризованное 1 л|1
водка русский стандарт платинум 0,5 л|8
набор машинок bigga, 7 см, 5 шт. в уп.|9
набор бархатные ручки, формула нежности, 1 шт.|9
конфеты шоколадные kalev, 124 г: - с начинкой из сливочного ликера vana tallinn cream - с начинкой из сливочного ликера|7
кофе dallmayr espresso monaco, молотый, 200 г|5
пиво zatecky gus, светлое, 0,45- 0,48 л, россия|8
конфеты ромашки, 100 г|7
гель для стирки ласка, в ассортименте, 1 л|9
обувь женская fm, р- р 36–40, в ассортименте|9
пирожные petra королевские, фруктовые, 400 г|7
печенье любятово, мария, традиционное, 180 г|7
конфеты аленка, красный октябрь, 250 г|7
мультипекарь redmond rmb- m603/ rmb- 616/ 3|9
креветки vici любо есть, в рассоле, 400 г|3
крупа элитная гречневая, агро- альянс, 5х 100 г|5
скумбрия балтийский берег, потрошеная, кусочки холодного копчения, 280 г|3
мясорубка redmond rmg- 1223- 6|9
крупа гречневая увелка, ядрица, варочные пакеты, 7 шт. х 80 г|5
напиток безалкогольный schweppes, 1,5 л, в ассортименте|9
вино фанагория номерной резерв каберне розовое полусухое, 0,75 л|8
коньяк киновский, трехлетний, 40%, 0,5 л|8
улитка виноградная escargots по- бургундски замороженная 1000 г|3
продукт рассольный сиртаки original, 55%, 200 г|1
игрушка мягкая pippins, 14 см: sf5156a, sf5156b, sf5156c|9
средство для стирки tide 3 кг/ 1,23 л/ 15 капсул|9
рис мистраль, ориент, белый, длиннозерный, 900 г|5
водка архангельская 0,5 в ассортименте|8
